#SEMS Sensor Voltages
#--------------------------------------------------------
#BMI SEMS SN:  20
#BMI MCPC SN:  19
#--------------------------------------------------------
#Date	Time	Secs	SampLFEVolt	XsLFEVolt	ShLFEVolt	ImpdPVolt	PressVolt	RHVolt	TempVolt	BoardTempVolt
231031	18:16:09.247	66	1.46289436	1.61152742	1.52158153	3.25443190	4.10159987	0.03745566	3.33249462	4.50590795
231031	18:16:10.247	67	1.46382235	1.60827637	1.51440679	3.25474953	4.10199224	0.03797881	3.33296172	4.50641866
231031	18:16:11.250	69	1.46057752	1.60778435	1.51363451	3.25467479	4.10133829	0.03780443	3.33383988	4.50692313
231031	18:16:12.249	70	1.46643814	1.61121602	1.51603854	3.25485541	4.10108917	0.03770478	3.33289322	4.50744006
231031	18:16:13.249	71	1.46456349	1.61002646	1.51757065	3.25450041	4.10191750	0.03797881	3.33332918	4.50820611
231031	18:16:14.249	72	1.46046541	1.60902374	1.51734021	3.25430734	4.10163101	0.03819057	3.33370287	4.50880401
231031	18:16:15.250	73	1.46070831	1.60725496	1.52095250	3.25506094	4.10169329	0.03777952	3.33308629	4.50945173
231031	18:16:16.251	74	1.46312480	1.60869988	1.52110197	3.25425751	4.10189882	0.03791031	3.33294304	4.51028006
231031	18:16:17.252	75	1.45892085	1.60910470	1.51892837	3.25425129	4.10286417	0.03763004	3.33220813	4.51098384
231031	18:16:18.251	76	1.45591892	1.60878707	1.51891592	3.25478690	4.10210434	0.03791031	3.33317971	4.51165647
231031	18:16:19.253	77	1.45675971	1.60754768	1.51875399	3.25411427	4.10133829	0.03756776	3.33260672	4.51237270
231031	18:16:20.254	78	1.45740743	1.60437759	1.51980653	3.25430111	4.10181162	0.03788539	3.33274374	4.51318858
231031	18:16:21.254	79	1.45873401	1.60420943	1.51702881	3.25448172	4.10259013	0.03772346	3.33276243	4.51386121
231031	18:16:22.259	80	1.45776865	1.60559829	1.52039197	3.25458137	4.10193618	0.03815943	3.33303646	4.51455875
231031	18:16:23.259	81	1.46220927	1.60507514	1.51763916	3.25492392	4.10198601	0.03769232	3.33228286	4.51537463
231031	18:16:24.259	82	1.45981769	1.60600312	1.51415144	3.25496129	4.10181162	0.03743074	3.33237006	4.51609709
231031	18:16:25.259	83	1.46217813	1.60758505	1.52016153	3.25485541	4.10219776	0.03809092	3.33310497	4.51703753
231031	18:16:26.259	84	1.46106954	1.60906733	1.51999960	3.25515436	4.10214171	0.03777952	3.33229532	4.51784718
231031	18:16:27.261	85	1.46607691	1.60731102	1.51765784	3.25426997	4.10196110	0.03796636	3.33292436	4.51863192
231031	18:16:28.261	86	1.46625752	1.60495057	1.51813118	3.25424506	4.10139434	0.03813452	3.33294304	4.51954121
231031	18:16:29.264	87	1.46806367	1.61018839	1.52244101	3.25481181	4.10227873	0.03779197	3.33307383	4.52020762
231031	18:16:30.264	88	1.46641323	1.60973997	1.51959478	3.25489901	4.10189259	0.03820303	3.33332918	4.52126639
231031	18:16:31.267	89	1.46421471	1.61272944	1.52354961	3.25501734	4.10158741	0.03787917	3.33295550	4.52203867
231031	18:16:32.267	90	1.46232138	1.60637058	1.51616311	3.25490523	4.10157496	0.03820925	3.33296795	4.52289192
231031	18:16:33.268	91	1.46637586	1.61051847	1.51814363	3.25513567	4.10196110	0.03800995	3.33275620	4.52381368
231031	18:16:34.268	92	1.46451989	1.60430285	1.51560258	3.25446304	4.10142548	0.03796636	3.33295550	4.52474789
231031	18:16:35.272	93	1.46090138	1.60762242	1.51517907	3.25459383	4.10127601	0.03756776	3.33247593	4.52546412
231031	18:16:36.272	94	1.46572191	1.60589101	1.51862942	3.25413295	4.10166838	0.03736223	3.33207734	4.52647306
231031	18:16:37.275	95	1.46129997	1.60998909	1.51892837	3.25508585	4.10159364	0.03807846	3.33308629	4.52734500
231031	18:16:38.275	96	1.46543542	1.61163953	1.52187425	3.25499243	4.10173689	0.03775460	3.33211471	4.52815465
231031	18:16:39.275	97	1.46178576	1.60955935	1.51955741	3.25455646	4.10168706	0.03832136	3.33322330	4.52905772
231031	18:16:40.275	98	1.45897067	1.60302610	1.51796925	3.25494260	4.10160610	0.03774215	3.33238251	4.52984868
231031	18:16:41.278	99	1.46435173	1.61290383	1.52389838	3.25403330	4.10152513	0.03775460	3.33232023	4.53081403
231031	18:16:42.278	100	1.46649419	1.61566287	1.51633749	3.25426374	4.10173689	0.03779820	3.33255067	4.53172333
231031	18:16:43.281	101	1.45213847	1.60760996	1.51914635	3.25533497	4.10191127	0.03788539	3.33229532	4.53270737
231031	18:16:44.280	102	1.45372663	1.61295365	1.51797548	3.25496751	4.10207943	0.03736846	3.33210225	4.53347965
231031	18:16:45.280	103	1.44822724	1.60247803	1.52266522	3.25545330	4.10196110	0.03784180	3.33238251	4.53441386
231031	18:16:46.280	104	1.45266163	1.60641417	1.52115180	3.25453778	4.10256522	0.03819057	3.33250085	4.53521106
231031	18:16:47.285	105	1.45386365	1.60386066	1.51593267	3.25489901	4.10212926	0.03765495	3.33261295	4.53618887
231031	18:16:48.285	106	1.45693409	1.60328145	1.51745232	3.25474953	4.10202961	0.03810960	3.33256313	4.53711685
